Volcano_Name,Country,Latitude,Longitude,Volcano_Type,Last_Eruption
Macauley,New Zealand,-30.21,-178.475,Caldera,-4360
Kikai,Japan,30.793,130.305,Caldera,-4350
Masaya,Nicaragua,11.985,-86.165,Caldera,-4050
Witori,Papua New Guinea,-5.576,150.516,Caldera,-4000
Taal,Philippines,14.002,120.993,Stratovolcano,-3580
Pinatubo,Philippines,15.13,120.35,Stratovolcano,-3550
Vesuvius,Italy,40.821,14.426,Complex volcano,-2420
Long Island,Papua New Guinea,-5.358,147.12,Complex volcano,-2040
Black Peak,United States,56.552,-158.785,Stratovolcano,-1900
"Hudson, Cerro",Chile,-45.9,-72.97,Stratovolcano,-1890
St. Helens,United States,46.2,-122.18,Stratovolcano,-1860
Veniaminof,United States,56.17,-159.38,Stratovolcano,-1750
Aniakchak,United States,56.88,-158.17,Caldera,-1645
Santorini,Greece,36.404,25.396,Shield volcano,-1610
Redoubt,United States,60.485,-152.742,Stratovolcano,-1550
Taupo,New Zealand,-38.82,176,Caldera,-1460
Witori,Papua New Guinea,-5.576,150.516,Caldera,-1370
Pinatubo,Philippines,15.13,120.35,Stratovolcano,-1050
Tungurahua,Ecuador,-1.467,-78.442,Stratovolcano,-1010
Cotopaxi,Ecuador,-0.677,-78.436,Stratovolcano,-455
Raoul Island,New Zealand,-29.27,-177.92,Stratovolcano,-250
Santorini,Greece,36.404,25.396,Shield volcano,-197
St. Andrew Strait,Papua New Guinea,-2.38,147.35,Complex volcano,-150
Etna,Italy,37.748,14.999,Stratovolcano,-141
Okmok,United States,53.43,-168.13,Shield volcano,-100
Apoyeque,Nicaragua,12.242,-86.342,Pyroclastic shield,-50
Santorini,Greece,36.404,25.396,Shield volcano,46
Ambrym,Vanuatu,-16.25,168.12,Pyroclastic shield,50
Churchill,United States,61.38,-141.75,Stratovolcano,60
Vesuvius,Italy,40.821,14.426,Complex volcano,79
"Arhab, Harra of",Yemen,15.63,44.08,Volcanic field,200
Taupo,New Zealand,-38.82,176,Caldera,233
Ksudach,Russia,51.844,157.572,Stratovolcano,240
Augustine,United States,59.363,-153.43,Lava dome,350
Krakatau,Indonesia,-6.102,105.423,Caldera,416
Ilopango,El Salvador,13.672,-89.053,Caldera,450
"Arhab, Harra of",Yemen,15.63,44.08,Volcanic field,500
San Salvador,El Salvador,13.734,-89.294,Stratovolcano,590
"Uwayrid, Harrat",Saudi Arabia,27.08,37.25,Volcanic field,640
Dakataua,Papua New Guinea,-5.094,150.094,Caldera,653
Rabaul,Papua New Guinea,-4.271,152.203,Pyroclastic shield,683
Witori,Papua New Guinea,-5.576,150.516,Caldera,710
Aira,Japan,31.593,130.657,Stratovolcano,764
Aira,Japan,31.593,130.657,Stratovolcano,766
Vesuvius,Italy,40.821,14.426,Complex volcano,787
Churchill,United States,61.38,-141.75,Stratovolcano,847
Katla,Iceland,63.633,-19.083,Subglacial volcano,920
Ceboruco,Mexico,21.125,-104.508,Stratovolcano,930
Katla,Iceland,63.633,-19.083,Subglacial volcano,934
Changbaishan,North Korea,41.98,128.08,Stratovolcano,946
Katla,Iceland,63.633,-19.083,Subglacial volcano,950
Santorini,Greece,36.404,25.396,Shield volcano,1050
Hekla,Iceland,63.983,-19.666,Stratovolcano,1104
Krysuvik-Trolladyngja,Iceland,63.917,-22.067,Crater rows,1151
Hekla,Iceland,63.983,-19.666,Stratovolcano,1158
Etna,Italy,37.748,14.999,Stratovolcano,1169
Etna,Italy,37.748,14.999,Stratovolcano,1169
Katla,Iceland,63.633,-19.083,Subglacial volcano,1177
Hekla,Iceland,63.983,-19.666,Stratovolcano,1206
Fentale,Ethiopia,8.975,39.93,Stratovolcano,1250
Katla,Iceland,63.633,-19.083,Subglacial volcano,1262
Quilotoa,Ecuador,-0.85,-78.9,Caldera,1280
Hekla,Iceland,63.983,-19.666,Stratovolcano,1300
Ischia,Italy,40.73,13.897,Complex volcano,1302
Katla,Iceland,63.633,-19.083,Subglacial volcano,1311
Kelud,Indonesia,-7.935,112.314,Stratovolcano,1311
Etna,Italy,37.748,14.999,Stratovolcano,1329
Etna,Italy,37.748,14.999,Stratovolcano,1329
Asosan,Japan,32.884,131.104,Caldera,1331
Kelud,Indonesia,-7.935,112.314,Stratovolcano,1334
